card_id,review_time,review_rating,review_state,review_duration
1,1706244182190,3,2,0
1,1703047493323,4,0,0
1,1703652548681,1,2,0
1,1703652854326,2,3,0
1,1703653462937,1,3,0
1,1703653526363,3,3,0
1,1703919232330,3,2,0
1,1704602699898,3,2,0
2,1702996305736,4,0,0
2,1703551867814,4,2,0
3,1703047511875,3,0,0
3,1703048139644,3,1,0
3,1703314546583,4,2,0
3,1705233440067,4,2,0
4,1705466509711,1,2,0
4,1705466764430,3,3,0
4,1705723685152,2,2,0
4,1705984640785,4,2,0
4,1703047504708,3,0,0
4,1703048361924,1,1,0
4,1703048454716,1,1,0
4,1703048489187,2,1,0
4,1703048548033,3,1,0
4,1703314411416,4,2,0
4,1705125797538,1,2,0
4,1705125852232,3,3,0
5,1703047540284,4,0,0
5,1703652579374,4,2,0
6,1703047515730,4,0,0
6,1703652562504,3,2,0
6,1705639134856,4,2,0
7,1703047472874,4,0,0
7,1703652236091,4,2,0
8,1703047474088,4,0,0
8,1703652240708,4,2,0
9,1703047519475,4,0,0
9,1703652572957,4,2,0
10,1703047522109,4,0,0
10,1703652576484,1,2,0
10,1703652905764,1,3,0
10,1703653245535,4,3,0
10,1704024238462,4,2,0
10,1705384938490,0,2,0
10,1705466250123,4,0,0
10,1705984679353,4,2,0
11,1703047471266,4,0,0
11,1703650574826,4,2,0
12,1703047547346,4,0,0
12,1703652587042,4,2,0
13,1703047566883,4,0,0
13,1703652695835,4,2,0
14,1703047564476,4,0,0
14,1703652687439,4,2,0
15,1703047995116,3,0,0
15,1703048449260,4,1,0
15,1703501325539,4,2,0
15,1705984734693,4,2,0
16,1705466323596,4,2,0
16,1703048405761,4,0,0
16,1703652987149,3,2,0
17,1703048075707,4,0,0
17,1703048080389,4,2,0
17,1703918177333,4,2,0
18,1703047553698,4,0,0
18,1703652642066,4,2,0
19,1703047549291,4,0,0
19,1703652590250,4,2,0
20,1703048066738,4,0,0
20,1703652913100,4,2,0
21,1703048000536,1,0,0
21,1703048212709,1,1,0
21,1703048446649,1,1,0
21,1703048485793,1,1,0
21,1703048501213,1,1,0
21,1703048520131,1,1,0
21,1703048530155,1,1,0
21,1703048537792,3,1,0
21,1703314426467,4,2,0
21,1704427726580,1,2,0
21,1704427839682,3,3,0
21,1704687830322,1,2,0
21,1704688190454,3,3,0
21,1704894157949,4,2,0
21,1705381353810,3,2,0
21,1706337215480,3,2,0
22,1703048062437,4,0,0
22,1703652902094,4,2,0
23,1702996298557,4,0,0
23,1703551980456,4,2,0
24,1703048145326,3,0,0
24,1703048482536,3,1,0
24,1703314771648,1,2,0
24,1703327518446,4,3,0
24,1703551905266,4,2,0
24,1704709193309,4,2,0
25,1702995439692,4,0,0
25,1703551908559,4,2,0
26,1703048002666,4,0,0
26,1703652839610,4,2,0
27,1703047563091,4,0,0
27,1703652680234,4,2,0
28,1703048381277,4,0,0
28,1703048383756,4,2,0
28,1703918198538,4,2,0
29,1703047619849,2,0,0
29,1703048168614,1,1,0
29,1703048440293,4,1,0
29,1703314754099,3,2,0
29,1704090684333,1,2,0
29,1704091000350,4,3,0
29,1704427658497,1,2,0
29,1704427806702,3,3,0
