review_time,card_id,review_rating,review_duration,review_state
1505056139212,1446463529167,3,14075,0
1505145731763,1446463529167,3,11461,1
1505947954874,1446463529167,3,8340,2
1507764002752,1446463529167,3,7169,2
1516664371583,1446463529167,3,7230,2
1490134653800,1446463529168,3,4424,0
1490135409312,1446463529168,3,4993,1
1505056481995,1446463529168,3,4781,1
1505145828477,1446463529168,3,5483,1
1505751718083,1446463529168,3,5894,2
1507808243945,1446463529168,3,3425,2
1516552284743,1446463529168,3,3292,2
1505056151083,1446463529170,3,11807,0
1505145704484,1446463529170,3,14291,1
1505947827671,1446463529170,3,9273,2
1508080819106,1446463529170,3,4342,2
1516552291979,1446463529170,3,7223,2
1490134665252,1446463529171,1,11444,0
1490134752854,1446463529171,3,14358,1
1490135668115,1446463529171,3,8779,1
1505056586335,1446463529171,3,60000,1
1505145869890,1446463529171,3,26587,1
1505751836876,1446463529171,3,12197,2
1507763520863,1446463529171,1,17484,2
1507807527102,1446463529171,3,14421,3
1513783796625,1446463529171,2,15188,2
1516745839529,1446463529171,2,15855,2
1519647441837,1446463529171,3,19756,2
1527628207300,1446463529171,3,12543,2
1505056187359,1446463529173,3,36266,0
1505145754482,1446463529173,3,22708,1
1506378593532,1446463529173,3,26788,2
1508081313429,1446463529173,3,14806,2
1516929777362,1446463529173,3,33788,2
1490134683283,1446463529174,3,18026,0
1490135435495,1446463529174,3,20055,1
1505170055885,1446463529174,3,26053,1
1505261920082,1446463529174,3,21939,1
1505751811505,1446463529174,1,24461,2
1505946632789,1446463529174,3,11650,3
1506513658857,1446463529174,3,11798,2
1507808467776,1446463529174,2,15821,2
1516486031870,1446463529174,1,12450,2
1516486717047,1446463529174,1,28451,3
1516551315263,1446463529174,3,12259,3
1516745583582,1446463529174,1,25842,2
1516746193013,1446463529174,3,9984,3
1516834912578,1446463529174,3,11031,2
1517262160635,1446463529174,3,10388,2
1517708759984,1446463529174,3,19162,2
1518532070834,1446463529174,3,9322,2
1519819124475,1446463529174,3,11975,2
1521852943255,1446463529174,3,19829,2
1527627680036,1446463529174,3,13750,2
1505056203927,1446463529176,3,16562,0
1505145720292,1446463529176,3,6667,1
1505947939246,1446463529176,3,6194,2
1507808451943,1446463529176,3,9092,2
1516664434551,1446463529176,3,10759,2
1490134689407,1446463529177,3,6118,0
1490135415431,1446463529177,3,6092,1
1505170060489,1446463529177,3,4584,1
1505261826906,1446463529177,3,4740,1
1506467593757,1446463529177,3,5743,2
1508147760588,1446463529177,3,6516,2
1516552330137,1446463529177,3,4914,2
1505056216158,1446463529179,3,12210,0
1505145713620,1446463529179,3,9126,1
1506647529831,1446463529179,3,31057,2
1516324373546,1446463529179,3,9845,2
1490134711696,1446463529180,3,3195,0
1490135459666,1446463529180,3,9973,1
1505170069789,1446463529180,3,9289,1
1505261934377,1446463529180,3,9389,1
1505751727457,1446463529180,1,9360,2
1505946621127,1446463529180,3,11746,3
1506557233655,1446463529180,3,8904,2
1508147154576,1446463529180,3,9415,2
1516551996420,1446463529180,2,9672,2
1521118688748,1446463529180,3,14786,2
1505056271672,1446463529182,3,55508,0
1505145817206,1446463529182,1,8825,1
1505145898151,1446463529182,3,7934,1
1505169105289,1446463529182,3,9091,1
1506467476070,1446463529182,3,9444,2
1513800279723,1446463529182,3,8549,2
1527538669118,1446463529182,3,26230,2
1490135689354,1446463529183,3,11624,0
1490136462960,1446463529183,3,11281,1
1505170080082,1446463529183,3,10285,1
1505261836657,1446463529183,3,9739,1
1505751773372,1446463529183,3,14165,2
1506647577974,1446463529183,3,10200,2
1513875423459,1446463529183,3,7872,2
